Nr.,Pardavimo s?skaitos data,Pardavimo s?skaitos serija,Kodas,Pavadinimas,Kiekis be mato,Matas,Kiekis,Pardavimo s?skaitos grup?,Pardavimo suma be PVM
969753.00,2018-11-16,AKU-1825327,02-04-03-0349,Variklio galvut?s tarpin? OM 904 VICTOR REINZ ,1.00,vnt.,1.00 vnt.,Vilniaus servisas,76.67
969754.00,2018-11-16,AKU-1825355,TE5W30MOBIL3000,Sintetin? alyva varik. Super 3000XE 5W30 229.51 MOBIL,4.00,l.,4.00 l.,Kauno realizacija,12.82
969755.00,2018-11-16,AKU-1825327,14-32172-01,Cilindr? galvut?s varžtas 1vnt. VICTOR REINZ,6.00,vnt.,6.00 vnt.,Vilniaus servisas,17.06
969757.00,2018-11-16,AKU-1825327,A9261420080,Tarpin? išmetimo kolektoriaus,1.00,vnt.,1.00 vnt.,Vilniaus servisas,15.37
969758.00,2018-11-16,AKU-1825355,KL5-20,!Lang? plovimo skystis žieminis. -21C  5L,2.00,vnt.,2.00 vnt.,Kauno realizacija,4.14
969759.00,2018-11-14,AKU-1825150,26883,Vairo trauk? išilgin? FEBI,1.00,vnt.,1.00 vnt.,Vilniaus servisas,86.90
969767.00,2018-11-14,AKU-1825092,A9709900051,Trauk?s antgalio veržl? 20X1.5,1.00,vnt.,1.00 vnt.,Vilniaus servisas,2.13
969772.00,2018-11-14,AKU-1825104,MBSMULK,Detali? siuntimas,1.00,vnt.,1.00 vnt.,Kauno realizacija,2.00
969779.00,2018-11-15,AKU-1825199,A176991019864,Fiksatorius,2.00,vnt.,2.00 vnt.,Kauno realizacija,3.26
969781.00,2018-11-15,AKU-1825199,A0099974081,?vor?,1.00,vnt.,1.00 vnt.,Kauno realizacija,1.02
969782.00,2018-11-14,AKU-1825150,L64193,Lemput? H4 12V 60/55W OSRAM,5.00,vnt.,5.00 vnt.,Vilniaus servisas,11.44
969784.00,2018-11-14,AKU-1825150,L64210,Lemput? H7 12V 55W OSRAM,10.00,vnt.,10.00 vnt.,Vilniaus servisas,29.11
969792.00,2018-11-15,AKU-1825176,A1668200374,Atšvaitas galinio buferio GL Kairys,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,18.97
969793.00,2018-11-17,AKU-1825393,L7537,Lemput? 21/5W 24V OSRAM,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,0.67
969794.00,2018-11-15,AKU-1825196,A0008246849,Dangtelis valytuv? kojel?s k.p./d.p. MP4,4.00,vnt.,4.00 vnt.,Vilniaus realizacija,9.05
969795.00,2018-11-15,AKU-1825196,A9608170116,MB žvaigžd?,2.00,vnt.,2.00 vnt.,Vilniaus realizacija,54.42
969796.00,2018-11-14,AKU-1825097,A0259975047,Riebokšlis variklio U 904 115x140x12 AKCIJA,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,41.44
969805.00,2018-11-17,AKU-1825403,13507,Stabdži? suporto sraigtas TTT,1.00,vnt.,1.00 vnt.,Kauno servisas,5.68
969822.00,2018-11-15,AKU-1825246,32642,Pagalv?,1.00,vnt.,1.00 vnt.,Vilniaus servisas,65.67
969823.00,2018-11-15,AKU-1825246,1367602,Svirtis,1.00,vnt.,1.00 vnt.,Vilniaus servisas,69.46
969824.00,2018-11-15,AKU-1825246,1367702,Svirtis,1.00,vnt.,1.00 vnt.,Vilniaus servisas,69.46
969828.00,2018-11-16,AKU-1825369,21545,Stabilizatoriaus ?vor? 40x50.5-55 FEBI,1.00,vnt.,1.00 vnt.,Kauno servisas,3.08
969830.00,2018-11-16,AKU-1825325,447.030,Riebokšlis ELRING,1.00,vnt.,1.00 vnt.,Kauno servisas,6.33
969831.00,2018-11-17,AKU-1825371,0107831,Stabilizatoriaus trauk? AK,2.00,vnt.,2.00 vnt.,Klaip?dos servisas,128.98
969832.00,2018-11-16,AKU-1825325,A9069970945,Riebokšlis ELRING,1.00,vnt.,1.00 vnt.,Kauno servisas,8.02
969837.00,2018-11-14,DKS-0008103,A6421880580,Tarpin? alyvos aušintuvo,2.00,vnt.,2.00 vnt.,Vilniaus realizacija,7.44
969842.00,2018-11-14,AKU-1825154,31685000700,Stabdži? diskas,2.00,vnt.,2.00 vnt.,Vilniaus servisas,136.56
969854.00,2018-11-14,AKU-1825113,330074T,Plomba galin? raudona,2.00,vnt.,2.00 vnt.,Vilniaus servisas,0.52
969855.00,2018-11-15,AKU-1825202,A9408910017,Kabinos ?vor?,2.00,vnt.,2.00 vnt.,Klaip?dos realizacija,2.72
969859.00,2018-11-15,AKU-1825178,AL24,Sausintuvo filtras su tepalo atskyr?ju 13 Bar MAHLE,1.00,vnt.,1.00 vnt.,Kauno servisas,26.21
969861.00,2018-11-15,AKU-1825199,A0018261982,Pos?kio lizdas,1.00,vnt.,1.00 vnt.,Kauno realizacija,14.36
969862.00,2018-11-15,AKU-1825199,A2118700510,Jungiklis,1.00,vnt.,1.00 vnt.,Kauno realizacija,3.01
969863.00,2018-11-15,AKU-1825199,A20881400079G21,Tinklelis,1.00,vnt.,1.00 vnt.,Kauno realizacija,18.64
969867.00,2018-11-15,AKU-1825199,A2048850526649999,Apdengimas,1.00,vnt.,1.00 vnt.,Kauno realizacija,13.16
969868.00,2018-11-15,AKU-1825199,A1668205700,Apdaila,1.00,vnt.,1.00 vnt.,Kauno realizacija,9.18
969869.00,2018-11-15,AKU-1825199,A16481201019051,Fiksatorius,1.00,vnt.,1.00 vnt.,Kauno realizacija,5.83
969870.00,2018-11-15,AKU-1825199,A16481202019051,Fiksatorius,1.00,vnt.,1.00 vnt.,Kauno realizacija,5.83
969871.00,2018-11-15,AKU-1825199,A44781101009051,Veidrodžio dangtelis d.p. ,2.00,vnt.,2.00 vnt.,Kauno realizacija,36.62
969873.00,2018-11-14,AKU-1825132,SM5443,Komplektas atramos amort. KYB,2.00,vnt.,2.00 vnt.,Kauno servisas,69.70
969875.00,2018-11-15,AKU-1825185,A9603202017,Oro pagalv? priekinio tilto,1.00,vnt.,1.00 vnt.,Kauno realizacija,273.45
969876.00,2018-11-16,AKU-1825370,SUN455,Aušinimo skystis raudonas -35 5kg G12,1.00,vnt.,1.00 vnt.,Kauno servisas,10.12
969879.00,2018-11-14,AKU-1825154,086.317-00A,Stabdži? trinkel?s PE,1.00,kompl.,1.00 kompl.,Vilniaus servisas,66.81
969880.00,2018-11-16,AKU-1825273,138812,Saugiklis midi 30A žalias,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,0.24
969881.00,2018-11-15,AKU-1825243,4413,Laido antgalis,3.00,vnt.,3.00 vnt.,Šiauli? servisas,1.09
969882.00,2018-11-15,AKU-1825243,161860,Varžtas cilindr. M8x80 912 10.9,2.00,vnt.,2.00 vnt.,Šiauli? servisas,0.44
969883.00,2018-11-15,AKU-1825216,A210440500564,Laid? k-tas,1.00,vnt.,1.00 vnt.,Kauno realizacija,18.95
969884.00,2018-11-15,AKU-1825243,7420B,Poveržl? M8 DIN125Ac.,2.00,vnt.,2.00 vnt.,Šiauli? servisas,0.05
969886.00,2018-11-16,AKU-1825310,A9065400334,Laidas kalad?li? nusid?v?jimo,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,10.42
969888.00,2018-11-16,AKU-1825310,A9067600020,Dangtelis,2.00,vnt.,2.00 vnt.,Vilniaus realizacija,13.65
969889.00,2018-11-14,AKU-1825123,06550,Priekabos kriauš?s sandarinimo žiedas FEBI,2.00,vnt.,2.00 vnt.,Kauno servisas,0.70
969892.00,2018-11-15,AKU-1825210,A0009930161,Antgalis 0019911622,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,4.06
969894.00,2018-11-14,AKU-1825150,L64193,Lemput? H4 12V 60/55W OSRAM,4.00,vnt.,4.00 vnt.,Vilniaus servisas,9.15
969895.00,2018-11-16,AKU-1825361,A0029989150,Domkrato padas,1.00,vnt.,1.00 vnt.,Kauno realizacija,5.44
969899.00,2018-11-15,AKU-1825216,A2218201414,Priek. žibinto tvirtinimo RMK d/p,1.00,vnt.,1.00 vnt.,Kauno realizacija,40.12
969903.00,2018-11-14,AKU-1825111,1322586A,Tarpini? kompl. AT2000/ST,3.00,vnt.,3.00 vnt.,Kauno realizacija,27.53
969905.00,2018-11-14,AKU-1825111,9026489B,Degiklis su kaitinimo strypu Thermo PRO 50 ECO WEBASTO,2.00,vnt.,2.00 vnt.,Kauno realizacija,267.12
969907.00,2018-11-15,AKU-1825174,KL5-20,!Lang? plovimo skystis žieminis. -21C  5L,2.00,vnt.,2.00 vnt.,Vilniaus servisas,5.92
969912.00,2018-11-14,AKU-1825124,620V,Varinis žiedas 14x20x1.5 BERNER,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.21
969918.00,2018-11-14,DKS-0008105,36061299,Išmetimo vamzdis 24x3 EBERSPACHER,0.50,m.,0.50 m.,Kauno realizacija,5.68
969925.00,2018-11-14,AKU-1825128,330072T,Plomba maža raudona,3.00,vnt.,3.00 vnt.,Šiauli? servisas,0.27
969926.00,2018-11-14,AKU-1825128,330074T,Plomba galin? raudona,2.00,vnt.,2.00 vnt.,Šiauli? servisas,0.52
969927.00,2018-11-14,AKU-1825139,A0155457826,Kontaktas,1.00,vnt.,1.00 vnt.,Vilniaus servisas,1.41
969928.00,2018-11-14,AKU-1825124,2.14224,Žiedas 19x27x7.1 žalias DT,2.00,vnt.,2.00 vnt.,Vilniaus servisas,6.88
969930.00,2018-11-14,AKU-1825137,330087,Plombavimo viela 40 cm 1.4 mm,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.00
969931.00,2018-11-14,AKU-1825137,330072T,Plomba maža raudona,2.00,vnt.,2.00 vnt.,Vilniaus servisas,0.00
969932.00,2018-11-14,AKU-1825137,13810001,Baterija 1381 tachografui,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.00
969933.00,2018-11-15,AKU-1825227,330087,Plombavimo viela 40 cm 1.4 mm,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.00
969934.00,2018-11-14,AKU-1825137,330076T,Plomba švinin?,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.00
969936.00,2018-11-14,AKU-1825127,TE10W40MOBILXHP,Alyva variklin? Delvac XHP ESP 10w-40 MOBIL 208L.,4.00,l.,4.00 l.,Kauno servisas,14.00
969937.00,2018-11-14,AKU-1825139,336815,Jungtis užsilydanti Duraseal raud. BERNER,2.00,vnt.,2.00 vnt.,Vilniaus servisas,1.46
969938.00,2018-11-14,AKU-1825139,113820,Dirželis laidams 4.8x282 BERNER,20.00,vnt.,20.00 vnt.,Vilniaus servisas,1.78
969941.00,2018-11-16,AKU-1825328,A6420108107,Alyvos ?pilimo žarna,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,11.02
969943.00,2018-11-16,AKU-1825328,A000010138564,Kamštis ,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,5.01
969944.00,2018-11-15,AKU-1825178,SUN1,Aušinimo skystis koncentruotas SUNOCO G11,1.50,l.,1.50 l.,Kauno servisas,5.04
969945.00,2018-11-14,AKU-1825134,330072T,Plomba maža raudona,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,0.00
969946.00,2018-11-14,AKU-1825134,6955448,Plombavimo viela,0.40,m.,0.40 m.,Klaip?dos servisas,0.00
969947.00,2018-11-14,AKU-1825134,13810001,Baterija 1381 tachografui,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,0.00
969948.00,2018-11-14,AKU-1825151,9608850538,Apdaila d.p.,1.00,vnt.,1.00 vnt.,Kauno servisas,88.40
969950.00,2018-11-14,DKS-0008107,L2825,Lemput? 12V 5W be cokolio OSRAM,5.00,vnt.,5.00 vnt.,Kauno realizacija,0.96
969952.00,2018-11-14,DKS-0008107,L3893,Lemput? 12V 4W BA9S OSRAM,2.00,vnt.,2.00 vnt.,Kauno realizacija,0.52
969953.00,2018-11-15,AKU-1825174,A0014017313,Ventilis ? padang? sl?gio davikl? 45° MP4,1.00,vnt.,1.00 vnt.,Vilniaus servisas,18.80
969954.00,2018-11-16,AKU-1825294,A0009936376,Grandin?,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,179.13
969955.00,2018-11-16,AKU-1825294,A6420520374,Kaištis,4.00,vnt.,4.00 vnt.,Klaip?dos realizacija,15.40
969956.00,2018-11-16,AKU-1825294,A6420520074,Kaištis,4.00,vnt.,4.00 vnt.,Klaip?dos realizacija,8.99
969958.00,2018-11-14,AKU-1825158,13515,Lemput? T4W 24V OSRAM,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.54
969959.00,2018-11-14,AKU-1825142,8MA 376 705-081 ,Išsipl?timo bakelis BEHR,1.00,vnt.,1.00 vnt.,Kauno realizacija,58.98
969960.00,2018-11-15,DKS-0008114,WK842/21X,Kuro filtras MANN,1.00,vnt.,1.00 vnt.,Kauno realizacija,16.31
969961.00,2018-11-14,AKU-1825158,13-05-01-0540,+Žibintas šoninio gabarito su jungtimi. geltonas LED 24V MEGA,1.00,vnt.,1.00 vnt.,Vilniaus servisas,5.87
969962.00,2018-11-15,DKS-0008114,HU719/7X,Alyvos filtras MANN,1.00,vnt.,1.00 vnt.,Kauno realizacija,3.45
969963.00,2018-11-15,DKS-0008114,C27192/1,Oro filtras MANN,1.00,vnt.,1.00 vnt.,Kauno realizacija,8.76
969964.00,2018-11-14,AKU-1825142,HIDRVMZD,Hidraulinis vamzdelis 325 cm (naudotas),1.00,vnt.,1.00 vnt.,Kauno realizacija,10.00
969965.00,2018-11-15,DKS-0008114,CU3037,Salono filtras MANN,1.00,vnt.,1.00 vnt.,Kauno realizacija,7.45
969974.00,2018-11-14,AKU-1825143,MER-CP-012,Bamperio spoilerio centr. dalis PACOL,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,22.48
969996.00,2018-11-15,AKU-1825174,L64196,Lemput? H4 24V 75/70W OSRAM,1.00,vnt.,1.00 vnt.,Vilniaus servisas,2.85
969997.00,2018-11-14,AKU-1825151,REMELIS1,Valstybinio numerio r?melis,1.00,vnt.,1.00 vnt.,Kauno servisas,1.09
969998.00,2018-11-14,AKU-1825154,076.351-30A,Kontrolin? oro jungtis PE,1.00,vnt.,1.00 vnt.,Vilniaus servisas,1.98
969999.00,2018-11-14,AKU-1825154,076.244-00A,Sandarinimo žiedas su poveržle 16mm PE,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.53
970004.00,2018-11-16,AKU-1825281,A2208200621,Veidrodžio pos?kio žibintas d.p.,1.00,vnt.,1.00 vnt.,Kauno realizacija,33.40
970005.00,2018-11-16,AKU-1825302,15024,S?varža žarnai mini 10x9 BERNER,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,1.67
970011.00,2018-11-14,AKU-1825153,A000989282512,Aušinimo skystis konc. 210L (MB 325.5),1.00,l.,1.00 l.,Vilniaus servisas,3.85
970012.00,2018-11-14,AKU-1825158,680,Varinis žiedas 20x24x1.5,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.51
970014.00,2018-11-15,AKU-1825167,REST001,Priek. stabdži? kalad. keitimas,1.40,val.,1.40 val.,Vilniaus servisas,42.00
970015.00,2018-11-15,AKU-1825167,REST002,Alyvos keitimas,0.50,val.,0.50 val.,Vilniaus servisas,15.00
970016.00,2018-11-15,AKU-1825167,REST003,Kompleksinis filtr? keitimas,0.90,val.,0.90 val.,Vilniaus servisas,27.00
970017.00,2018-11-15,AKU-1825167,REST004,Elektros darbai,3.50,val.,3.50 val.,Vilniaus servisas,105.00
970018.00,2018-11-15,AKU-1825167,REST005,Stabdži? suport? keitimas,0.50,val.,0.50 val.,Vilniaus servisas,15.00
970019.00,2018-11-15,AKU-1825167,REST006,Gal. stabdži? profilaktika,1.40,val.,1.40 val.,Vilniaus servisas,42.00
970020.00,2018-11-15,AKU-1825167,DET001,Stabdži? kalad?l?s,1.00,vnt.,1.00 vnt.,Vilniaus servisas,66.82
970021.00,2018-11-15,AKU-1825167,DET002,Alyva 5W30,8.00,l.,8.00 l.,Vilniaus servisas,86.21
970022.00,2018-11-15,AKU-1825167,DET003,Tepalo filtras,1.00,vnt.,1.00 vnt.,Vilniaus servisas,14.54
970023.00,2018-11-15,AKU-1825254,89838B,Valdymo blokas 1580 AT3500 D 24V WEBASTO,1.00,vnt.,1.00 vnt.,Kauno servisas,198.90
970024.00,2018-11-15,AKU-1825167,DET004,Filtras oro/salono,1.00,vnt.,1.00 vnt.,Vilniaus servisas,27.92
970025.00,2018-11-16,AKU-1825369,97675,Varžtas M10 x 50 BERNER,1.00,vnt.,1.00 vnt.,Kauno servisas,0.61
970026.00,2018-11-15,AKU-1825167,DET005,Filtras oro/salono,1.00,vnt.,1.00 vnt.,Vilniaus servisas,24.78
970027.00,2018-11-16,AKU-1825369,4553,Veržl? M10 BERNER,1.00,vnt.,1.00 vnt.,Kauno servisas,0.16
970029.00,2018-11-16,AKU-1825369,9040,Poveržl? M10 plati BERNER,1.00,vnt.,1.00 vnt.,Kauno servisas,0.10
970031.00,2018-11-15,AKU-1825167,DET006,Kuro filtras,1.00,vnt.,1.00 vnt.,Vilniaus servisas,29.09
970032.00,2018-11-15,AKU-1825167,DET007,Valytuvai,1.00,vnt.,1.00 vnt.,Vilniaus servisas,33.93
970033.00,2018-11-15,AKU-1825167,DET008,Numerio apšvietimo lizdas,2.00,vnt.,2.00 vnt.,Vilniaus servisas,36.22
970034.00,2018-11-15,AKU-1825167,DET009,Gal. žibintas,1.00,vnt.,1.00 vnt.,Vilniaus servisas,67.34
970035.00,2018-11-15,AKU-1825167,DET010,Stabdži? suportas,1.00,vnt.,1.00 vnt.,Vilniaus servisas,274.81
970036.00,2018-11-15,AKU-1825167,DET011,Farkopo rozet?,1.00,vnt.,1.00 vnt.,Vilniaus servisas,28.28
970038.00,2018-11-15,AKU-1825248,009482006,Kniedijama veržl? M6,5.00,vnt.,5.00 vnt.,Kauno servisas,1.27
970039.00,2018-11-15,AKU-1825248,97330,Varžtas M6x20 BERNER,4.00,vnt.,4.00 vnt.,Kauno servisas,0.31
970040.00,2018-11-15,AKU-1825248,8940,Poveržl? M6.0x15 BERNER,4.00,vnt.,4.00 vnt.,Kauno servisas,0.14
970042.00,2018-11-15,AKU-1825254,10C,Užspaudimo žiedas 10mm BERNER,2.00,vnt.,2.00 vnt.,Kauno servisas,5.09
970051.00,2018-11-16,AKU-1825302,L5627,Lemput? 5W 24V su met. cokoliu OSRAM,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,0.48
970052.00,2018-11-16,AKU-1825302,12599,Tiesi jungtis 0.5 - 1.5 mm² 6.3x0.8 Raud. BERNER,6.00,vnt.,6.00 vnt.,Klaip?dos servisas,1.94
970053.00,2018-11-16,AKU-1825302,131228,Knied? ploš. 4.8x12 AL/ST 14mm,4.00,vnt.,4.00 vnt.,Klaip?dos servisas,0.97
970054.00,2018-11-16,AKU-1825302,336815,Jungtis užsilydanti Duraseal raud. BERNER,6.00,vnt.,6.00 vnt.,Klaip?dos servisas,3.94
970059.00,2018-11-15,AKU-1825162,L7511,Lemput? 21W 24V OSRAM,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,0.47
970060.00,2018-11-15,AKU-1825162,4X0.75,Kabelis lankstus 4x0.75mm,0.40,m.,0.40 m.,Klaip?dos servisas,0.21
970061.00,2018-11-15,AKU-1825162,12378,T?tel? plokš. M?L 6.3mm BERNER,2.00,vnt.,2.00 vnt.,Klaip?dos servisas,0.50
970062.00,2018-11-15,AKU-1825162,113821,Dirželis laidams 4.8x368 BERNER,5.00,vnt.,5.00 vnt.,Klaip?dos servisas,0.39
970063.00,2018-11-15,AKU-1825162,336823,Jungtis užsilydanti Duraseal m?l. BERNER,4.00,vnt.,4.00 vnt.,Klaip?dos servisas,2.04
970064.00,2018-11-15,AKU-1825162,12513 (131),M?L ausel? M8 131,2.00,vnt.,2.00 vnt.,Klaip?dos servisas,0.44
970065.00,2018-11-14,AKU-1825158,TE10W40MOBILXHP,Alyva variklin? Delvac XHP ESP 10w-40 MOBIL 208L.,14.00,l.,14.00 l.,Vilniaus servisas,49.00
970073.00,2018-11-14,DKS-0008109,TE5W30MOBIL3000,Sintetin? alyva varik. Super 3000XE 5W30 229.51 MOBIL,3.00,l.,3.00 l.,Kauno servisas,9.62
970078.00,2018-11-14,DKS-0008110,B66956285,!Pakabukas,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,1.29
970080.00,2018-11-15,AKU-1825161,343965,Hermetikas varikliui aeroz. 200 ml BERNER,0.30,vnt.,0.30 vnt.,Klaip?dos servisas,3.60
970081.00,2018-11-15,AKU-1825161,AARA0100,Antifrizas raudonas G12 [-37*C] 20l ELITE,0.20,vnt.,0.20 vnt.,Klaip?dos servisas,6.02
970082.00,2018-11-15,AKU-1825248,KTDET1,Gesintuvo laikiklis ,1.00,vnt.,1.00 vnt.,Kauno servisas,5.00
970087.00,2018-11-17,AKU-1825397,076.426-00A,Stabdži? kamera 16 PE,1.00,vnt.,1.00 vnt.,Vilniaus servisas,19.87
970123.00,2018-11-18,AKU-1825428,4329012232,Oro sausintuvo filtras su tepalo atskyr?ju WABCO,1.00,vnt.,1.00 vnt.,Klaip?dos servisas,30.68
970125.00,2018-11-16,AKU-1825306,A0079901401,+Varžtas M14x1.5/50,4.00,vnt.,4.00 vnt.,Klaip?dos realizacija,11.57
970132.00,2018-11-16,AKU-1825306,N000000005461,Kardano veržl?,3.00,vnt.,3.00 vnt.,Klaip?dos realizacija,6.94
970136.00,2018-11-15,AKU-1825199,A1668841000,Dangtelis,1.00,vnt.,1.00 vnt.,Kauno realizacija,10.01
970141.00,2018-11-15,AKU-1825169,330072T,Plomba maža raudona,2.00,vnt.,2.00 vnt.,Vilniaus servisas,0.00
970142.00,2018-11-15,AKU-1825169,330076T,Plomba švinin?,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.00
970143.00,2018-11-15,AKU-1825169,330087,Plombavimo viela 40 cm 1.4 mm,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.00
970147.00,2018-11-15,AKU-1825165,N000000005574,Varžtas pr. stabdži? diskui  M20x1.5-70mm,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,1.69
970148.00,2018-11-15,AKU-1825171,9028635A,*Siurblys cirkuliacinis U4847 Axial 24V Thermo PRO 50 ECO WEBASTO,1.00,vnt.,1.00 vnt.,Kauno servisas,194.53
970163.00,2018-11-16,AKU-1825325,70-31414-20,Hermetikas 200ml VICTOR REINZ,1.00,vnt.,1.00 vnt.,Kauno servisas,18.24
970168.00,2018-11-15,AKU-1825170,MBSMULK,Detali? siuntimas,1.00,vnt.,1.00 vnt.,Kauno realizacija,2.48
970169.00,2018-11-15,AKU-1825401,A9703220009,Ling?s laikiklis su guma (naudotas),1.00,vnt.,1.00 vnt.,Kauno servisas,27.00
970171.00,2018-11-16,AKU-1825306,N000000005461,Kardano veržl?,1.00,vnt.,1.00 vnt.,Klaip?dos realizacija,2.31
970172.00,2018-11-16,AKU-1825306,A0079901401,+Varžtas M14x1.5/50,7.00,vnt.,7.00 vnt.,Klaip?dos realizacija,20.24
970179.00,2018-11-17,AKU-1825403,13440TTT,Stabdži? suporto RMK TTT,1.00,kompl.,1.00 kompl.,Kauno servisas,16.73
970190.00,2018-11-15,AKU-1825187,252070011100,Kaitinimo strypas E112 18V Airtronic 24V NV EBERSPACHER,1.00,vnt.,1.00 vnt.,Šiauli? realizacija,43.03
970191.00,2018-11-15,AKU-1825215,330076T,Plomba švinin?,1.00,vnt.,1.00 vnt.,Kauno servisas,0.00
970192.00,2018-11-15,AKU-1825215,7949027,Plomba raudona,2.00,vnt.,2.00 vnt.,Kauno servisas,0.00
970193.00,2018-11-15,AKU-1825215,330087,Plombavimo viela 40 cm 1.4 mm,1.00,vnt.,1.00 vnt.,Kauno servisas,0.00
970194.00,2018-11-15,AKU-1825215,13810001,Baterija 1381 tachografui,1.00,vnt.,1.00 vnt.,Kauno servisas,0.00
970198.00,2018-11-15,AKU-1825252,06550,Priekabos kriauš?s sandarinimo žiedas FEBI,1.00,vnt.,1.00 vnt.,Kauno servisas,0.36
970203.00,2018-11-16,AKU-1825322,A1665240130,Apsauga po varikliu 1-a dalis,1.00,vnt.,1.00 vnt.,Kauno realizacija,74.38
970204.00,2018-11-15,AKU-1825198,13810001,Baterija 1381 tachografui,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.00
970205.00,2018-11-15,AKU-1825198,330072T,Plomba maža raudona,2.00,vnt.,2.00 vnt.,Vilniaus servisas,0.00
970206.00,2018-11-15,AKU-1825198,330076T,Plomba švinin?,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.00
970208.00,2018-11-15,AKU-1825198,330087,Plombavimo viela 40 cm 1.4 mm,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.00
970210.00,2018-11-16,AKU-1825327,REST0026,Variklio galvut?s remontas,1.00,vnt.,1.00 vnt.,Vilniaus servisas,127.19
970211.00,2018-11-16,AKU-1825322,A0074207820,Kalad?l?s galin?s,1.00,vnt.,1.00 vnt.,Kauno realizacija,165.29
970212.00,2018-11-16,AKU-1825322,A2115401717,Kalad?li? daviklis d.p.,1.00,vnt.,1.00 vnt.,Kauno realizacija,7.44
970213.00,2018-11-16,AKU-1825322,A2780940004,Oro filtras var.,2.00,vnt.,2.00 vnt.,Kauno realizacija,52.89
970214.00,2018-11-16,AKU-1825322,A1668300218,Salono filtras,1.00,vnt.,1.00 vnt.,Kauno realizacija,15.70
970215.00,2018-11-16,AKU-1825337,624324719,Sankabos komplektas LUK,1.00,vnt.,1.00 vnt.,Vilniaus servisas,142.46
970216.00,2018-11-16,AKU-1825337,2294000835,Smagratis SACHS,1.00,vnt.,1.00 vnt.,Vilniaus servisas,346.12
970220.00,2018-11-15,AKU-1825194,L5627,Lemput? 5W 24V su met. cokoliu OSRAM,4.00,vnt.,4.00 vnt.,Vilniaus servisas,2.15
970221.00,2018-11-15,AKU-1825194,138808,Saugiklis midi 10A raudonas BERNER,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.42
970222.00,2018-11-15,AKU-1825194,138809,Saugiklis midi 15A m?lynas BERNER,1.00,vnt.,1.00 vnt.,Vilniaus servisas,0.42
970223.00,2018-11-15,AKU-1825184,A6110940385,Filtro laikiklis,2.00,vnt.,2.00 vnt.,Kauno realizacija,7.49
970229.00,2018-11-16,AKU-1825354,A96088568747G99,Apdengimas k.p. ,1.00,vnt.,1.00 vnt.,Vilniaus realizacija,76.08
970231.00,2018-11-16,AKU-1825287,A90669005009B51,Apdailos juosta,1.00,vnt.,1.00 vnt.,Kauno realizacija,55.60
970232.00,2018-11-15,AKU-1825401,33810000,Ling? MFT,1.00,vnt.,1.00 vnt.,Kauno servisas,129.61
970234.00,2018-11-15,AKU-1825183,A000833693164,Šaldytuvo lynas MP4,1.00,vnt.,1.00 vnt.,Kauno realizacija,10.49
970251.00,2018-11-18,AKU-1825418,A0000901551,Kuro filtras 904LA,1.00,vnt.,1.00 vnt.,Vilniaus servisas,14.87
970287.00,2018-11-15,AKU-1825230,KTDET1,Diskatorius Actros (naudotas),1.00,vnt.,1.00 vnt.,Kauno realizacija,100.00
970291.00,2018-11-15,AKU-1825188,MBSMULK,Detali? siuntimas,1.00,vnt.,1.00 vnt.,Kauno realizacija,2.89
970293.00,2018-11-15,AKU-1825240,07940,Rato smeig? FEBI,16.00,vnt.,16.00 vnt.,Vilniaus realizacija,34.64
970294.00,2018-11-16,DKS-0008116,HU 726/2 X,Alyvos filtras MANN,1.00,vnt.,1.00 vnt.,Kauno realizacija,3.53
970295.00,2018-11-16,DKS-0008116,WK 853/3 X,Kuro filtras MANN,1.00,vnt.,1.00 vnt.,Kauno realizacija,10.06
